username,followers,avg_likes,eng_rate_computed,tier,cluster,cluster_label,roi_score,score_grade,country,follower_range,engagement_tier,followers_M,score_grade_clean,roi_rank
billieeilish,105200000.0,8500000.0,8.079847908745247,Icon (100M+),0,⚡ Power Influencer,51.74,🥈 Tier B — Strong,,100M+,High (5%+),105.2,Tier B — Strong,14
adele,50700000.0,4700000.0,9.270216962524657,Super Mega (50M–100M),0,⚡ Power Influencer,50.76,🥈 Tier B — Strong,United States,50M–100M,High (5%+),50.7,Tier B — Strong,15
zayn,46500000.0,4700000.0,10.10752688172043,Established Mega (10M–50M),0,⚡ Power Influencer,50.57,🥈 Tier B — Strong,United States,10M–50M,High (5%+),46.5,Tier B — Strong,16
therock,334100000.0,1900000.0,0.5686920083807243,Icon (100M+),2,📡 Reach Giant,50.18,🥈 Tier B — Strong,United States,100M+,Low (<2%),334.1,Tier B — Strong,17
virat.kohli,211800000.0,3500000.0,1.6525023607176583,Icon (100M+),2,📡 Reach Giant,49.73,🥉 Tier C — Moderate,,100M+,Low (<2%),211.8,Tier C — Moderate,18
khloekardashian,268300000.0,2400000.0,0.8945210585165859,Icon (100M+),2,📡 Reach Giant,49.49,🥉 Tier C — Moderate,United States,100M+,Low (<2%),268.3,Tier C — Moderate,19
taylorswift,222200000.0,2400000.0,1.08010801080108,Icon (100M+),2,📡 Reach Giant,49.35,🥉 Tier C — Moderate,United States,100M+,Low (<2%),222.2,Tier C — Moderate,20
badgalriri,135300000.0,3700000.0,2.7346637102734666,Icon (100M+),2,📡 Reach Giant,49.06,🥉 Tier C — Moderate,United States,100M+,Medium (2–5%),135.3,Tier C — Moderate,21
roses_are_rosie,61800000.0,4600000.0,7.443365695792881,Super Mega (50M–100M),0,⚡ Power Influencer,48.93,🥉 Tier C — Moderate,,50M–100M,High (5%+),61.8,Tier C — Moderate,22
tomholland2013,67700000.0,5400000.0,7.976366322008863,Super Mega (50M–100M),0,⚡ Power Influencer,48.89,🥉 Tier C — Moderate,,50M–100M,High (5%+),67.7,Tier C — Moderate,23
justinbieber,254500000.0,1900000.0,0.7465618860510805,Icon (100M+),2,📡 Reach Giant,48.86,🥉 Tier C — Moderate,Canada,100M+,Low (<2%),254.5,Tier C — Moderate,24
neymarjr,177100000.0,2700000.0,1.5245623941276116,Icon (100M+),2,📡 Reach Giant,48.69,🥉 Tier C — Moderate,Brazil,100M+,Low (<2%),177.1,Tier C — Moderate,25
sooyaaa__,62900000.0,4500000.0,7.154213036565977,Super Mega (50M–100M),0,⚡ Power Influencer,48.6,🥉 Tier C — Moderate,,50M–100M,High (5%+),62.9,Tier C — Moderate,26
badbunnypr,42100000.0,3700000.0,8.788598574821853,Established Mega (10M–50M),0,⚡ Power Influencer,47.92,🥉 Tier C — Moderate,,10M–50M,High (5%+),42.1,Tier C — Moderate,27
nickiminaj,201600000.0,2100000.0,1.0416666666666663,Icon (100M+),2,📡 Reach Giant,47.92,🥉 Tier C — Moderate,United States,100M+,Low (<2%),201.6,Tier C — Moderate,27
charlidamelio,49100000.0,4200000.0,8.55397148676171,Established Mega (10M–50M),0,⚡ Power Influencer,47.91,🥉 Tier C — Moderate,,10M–50M,High (5%+),49.1,Tier C — Moderate,29
jennierubyjane,68900000.0,5100000.0,7.402031930333817,Super Mega (50M–100M),0,⚡ Power Influencer,47.75,🥉 Tier C — Moderate,,50M–100M,High (5%+),68.9,Tier C — Moderate,30
jlo,220400000.0,1700000.0,0.7713248638838476,Icon (100M+),2,📡 Reach Giant,46.98,🥉 Tier C — Moderate,United States,100M+,Low (<2%),220.4,Tier C — Moderate,31
lalalalisa_m,80900000.0,5800000.0,7.169344870210136,Super Mega (50M–100M),0,⚡ Power Influencer,46.73,🥉 Tier C — Moderate,,50M–100M,High (5%+),80.9,Tier C — Moderate,32
milliebobbybrown,57600000.0,4000000.0,6.944444444444445,Super Mega (50M–100M),0,⚡ Power Influencer,46.72,🥉 Tier C — Moderate,United States,50M–100M,High (5%+),57.6,Tier C — Moderate,33
kourtneykardash,195200000.0,1800000.0,0.9221311475409836,Icon (100M+),2,📡 Reach Giant,46.68,🥉 Tier C — Moderate,United States,100M+,Low (<2%),195.2,Tier C — Moderate,34
addisonraee,40100000.0,3100000.0,7.73067331670823,Established Mega (10M–50M),0,⚡ Power Influencer,46.45,🥉 Tier C — Moderate,,10M–50M,High (5%+),40.1,Tier C — Moderate,35
shawnmendes,69900000.0,3500000.0,5.007153075822604,Super Mega (50M–100M),0,⚡ Power Influencer,46.08,🥉 Tier C — Moderate,Canada,50M–100M,High (5%+),69.9,Tier C — Moderate,36
bts.bighitofficial,66900000.00000001,4099999.999999999,6.128550074738414,Super Mega (50M–100M),0,⚡ Power Influencer,45.98,🥉 Tier C — Moderate,Uruguay,50M–100M,High (5%+),66.9,Tier C — Moderate,37
robertdowneyjr,53400000.0,3000000.0,5.617977528089887,Super Mega (50M–100M),0,⚡ Power Influencer,45.79,🥉 Tier C — Moderate,United States,50M–100M,High (5%+),53.4,Tier C — Moderate,38
blakelively,34600000.0,3100000.0,8.959537572254336,Established Mega (10M–50M),0,⚡ Power Influencer,45.32,🥉 Tier C — Moderate,United States,10M–50M,High (5%+),34.6,Tier C — Moderate,39
narendramodi,68900000.0,2900000.0,4.2089985486211905,Super Mega (50M–100M),0,⚡ Power Influencer,45.07,🥉 Tier C — Moderate,India,50M–100M,Medium (2–5%),68.9,Tier C — Moderate,40
chrishemsworth,55900000.0,2800000.0,5.008944543828265,Super Mega (50M–100M),0,⚡ Power Influencer,45.07,🥉 Tier C — Moderate,Australia,50M–100M,High (5%+),55.9,Tier C — Moderate,40
karolg,55600000.0,3100000.0,5.575539568345324,Super Mega (50M–100M),0,⚡ Power Influencer,45.03,🥉 Tier C — Moderate,India,50M–100M,High (5%+),55.6,Tier C — Moderate,42
mileycyrus,181500000.0,1300000.0,0.7162534435261708,Icon (100M+),2,📡 Reach Giant,44.84,🥉 Tier C — Moderate,,100M+,Low (<2%),181.5,Tier C — Moderate,43
kingjames,130900000.0,2100000.0,1.6042780748663104,Icon (100M+),2,📡 Reach Giant,44.76,🥉 Tier C — Moderate,,100M+,Low (<2%),130.9,Tier C — Moderate,44
k.mbappe,72700000.0,2500000.0,3.43878954607978,Super Mega (50M–100M),0,⚡ Power Influencer,44.27,🥉 Tier C — Moderate,,50M–100M,Medium (2–5%),72.7,Tier C — Moderate,45
gigihadid,75300000.0,2500000.0,3.3200531208499333,Super Mega (50M–100M),0,⚡ Power Influencer,43.97,🥉 Tier C — Moderate,United States,50M–100M,Medium (2–5%),75.3,Tier C — Moderate,46
iamcardib,140500000.0,3100000.0,2.206405693950178,Icon (100M+),2,📡 Reach Giant,43.42,🥉 Tier C — Moderate,United States,100M+,Medium (2–5%),140.5,Tier C — Moderate,47
zacefron,54500000.0,2300000.0,4.220183486238533,Super Mega (50M–100M),0,⚡ Power Influencer,43.27,🥉 Tier C — Moderate,United States,50M–100M,Medium (2–5%),54.5,Tier C — Moderate,48
travisscott,46200000.0,3000000.0,6.493506493506493,Established Mega (10M–50M),0,⚡ Power Influencer,43.2,🥉 Tier C — Moderate,United States,10M–50M,High (5%+),46.2,Tier C — Moderate,49
katyperry,170300000.0,715000.0,0.4198473282442748,Icon (100M+),2,📡 Reach Giant,43.0,🥉 Tier C — Moderate,,100M+,Low (<2%),170.3,Tier C — Moderate,50
champagnepapi,119600000.0,1700000.0,1.4214046822742474,Icon (100M+),2,📡 Reach Giant,42.91,🥉 Tier C — Moderate,Netherlands,100M+,Low (<2%),119.6,Tier C — Moderate,51
fcbarcelona,111400000.0,1200000.0,1.0771992818671454,Icon (100M+),2,📡 Reach Giant,42.59,🥉 Tier C — Moderate,,100M+,Low (<2%),111.4,Tier C — Moderate,52
ddlovato,139100000.0,1100000.0,0.7907979870596693,Icon (100M+),2,📡 Reach Giant,42.47,🥉 Tier C — Moderate,United States,100M+,Low (<2%),139.1,Tier C — Moderate,53
emmawatson,67300000.0,1900000.0,2.823179791976226,Super Mega (50M–100M),0,⚡ Power Influencer,42.46,🥉 Tier C — Moderate,United States,50M–100M,Medium (2–5%),67.3,Tier C — Moderate,54
kimberly.loaiza,35500000.0,2600000.0,7.323943661971831,Established Mega (10M–50M),0,⚡ Power Influencer,42.18,🥉 Tier C — Moderate,Mexico,10M–50M,High (5%+),35.5,Tier C — Moderate,55
realmadrid,123400000.0,996200.0,0.8072933549432739,Icon (100M+),2,📡 Reach Giant,42.16,🥉 Tier C — Moderate,Spain,100M+,Low (<2%),123.4,Tier C — Moderate,56
blackpinkofficial,48200000.0,2100000.0,4.356846473029045,Established Mega (10M–50M),0,⚡ Power Influencer,42.06,🥉 Tier C — Moderate,,10M–50M,Medium (2–5%),48.2,Tier C — Moderate,57
lelepons,49200000.0,2400000.0,4.878048780487805,Established Mega (10M–50M),0,⚡ Power Influencer,41.88,🥉 Tier C — Moderate,United States,10M–50M,Medium (2–5%),49.2,Tier C — Moderate,58
harrystyles,46900000.0,4700000.0,10.021321961620467,Established Mega (10M–50M),4,💬 Engagement King,41.71,🥉 Tier C — Moderate,United States,10M–50M,High (5%+),46.9,Tier C — Moderate,59
haileybieber,46900000.0,2000000.0,4.264392324093817,Established Mega (10M–50M),0,⚡ Power Influencer,41.62,🥉 Tier C — Moderate,,10M–50M,Medium (2–5%),46.9,Tier C — Moderate,60
anushkasharma,59500000.0,1900000.0,3.1932773109243695,Super Mega (50M–100M),0,⚡ Power Influencer,41.5,🥉 Tier C — Moderate,,50M–100M,Medium (2–5%),59.5,Tier C — Moderate,61
vindiesel,82300000.0,1400000.0,1.701093560145808,Super Mega (50M–100M),0,⚡ Power Influencer,41.49,🥉 Tier C — Moderate,United States,50M–100M,Low (<2%),82.3,Tier C — Moderate,62
danbilzerian,33600000.0,2000000.0,5.952380952380952,Established Mega (10M–50M),0,⚡ Power Influencer,41.4,🥉 Tier C — Moderate,Canada,10M–50M,High (5%+),33.6,Tier C — Moderate,63
colesprouse,35900000.0,2200000.0,6.128133704735376,Established Mega (10M–50M),0,⚡ Power Influencer,41.27,🥉 Tier C — Moderate,,10M–50M,High (5%+),35.9,Tier C — Moderate,64
priyankachopra,81100000.0,1600000.0,1.972872996300863,Super Mega (50M–100M),0,⚡ Power Influencer,41.16,🥉 Tier C — Moderate,United States,50M–100M,Low (<2%),81.1,Tier C — Moderate,65
mahi7781,39100000.0,4099999.999999999,10.485933503836316,Established Mega (10M–50M),4,💬 Engagement King,41.09,🥉 Tier C — Moderate,,10M–50M,High (5%+),39.1,Tier C — Moderate,66
natgeo,237000000.0,302200.0,0.1275105485232067,Icon (100M+),2,📡 Reach Giant,41.0,🥉 Tier C — Moderate,United States,100M+,Low (<2%),237.0,Tier C — Moderate,67
katrinakaif,66300000.0,1700000.0,2.564102564102564,Super Mega (50M–100M),0,⚡ Power Influencer,40.95,🥉 Tier C — Moderate,India,50M–100M,Medium (2–5%),66.3,Tier C — Moderate,68
nike,234100000.0,329000.0,0.1405382315249893,Icon (100M+),2,📡 Reach Giant,40.91,🥉 Tier C — Moderate,United States,100M+,Low (<2%),234.1,Tier C — Moderate,69
paulodybala,48300000.0,1800000.0,3.7267080745341614,Established Mega (10M–50M),0,⚡ Power Influencer,40.76,🥉 Tier C — Moderate,,10M–50M,Medium (2–5%),48.3,Tier C — Moderate,70
nasa,81300000.0,1200000.0,1.4760147601476017,Super Mega (50M–100M),0,⚡ Power Influencer,40.59,🥉 Tier C — Moderate,United States,50M–100M,Low (<2%),81.3,Tier C — Moderate,71
gal_gadot,85600000.0,1400000.0,1.6355140186915886,Super Mega (50M–100M),0,⚡ Power Influencer,40.58,🥉 Tier C — Moderate,United States,50M–100M,Low (<2%),85.6,Tier C — Moderate,72
aliaabhatt,68700000.0,1800000.0,2.620087336244542,Super Mega (50M–100M),0,⚡ Power Influencer,40.37,🥉 Tier C — Moderate,India,50M–100M,Medium (2–5%),68.7,Tier C — Moderate,73
iamzlatanibrahimovic,55100000.0,1500000.0,2.722323049001815,Super Mega (50M–100M),0,⚡ Power Influencer,40.0,🥉 Tier C — Moderate,,50M–100M,Medium (2–5%),55.1,Tier C — Moderate,74
akshaykumar,62800000.0,1500000.0,2.388535031847134,Super Mega (50M–100M),0,⚡ Power Influencer,39.98,🥉 Tier C — Moderate,,50M–100M,Medium (2–5%),62.8,Tier C — Moderate,75
nehakakkar,70400000.0,1500000.0,2.130681818181818,Super Mega (50M–100M),0,⚡ Power Influencer,39.97,🥉 Tier C — Moderate,India,50M–100M,Medium (2–5%),70.4,Tier C — Moderate,76
deepikapadukone,68400000.0,1600000.0,2.3391812865497075,Super Mega (50M–100M),0,⚡ Power Influencer,39.94,🥉 Tier C — Moderate,India,50M–100M,Medium (2–5%),68.4,Tier C — Moderate,77
dovecameron,48200000.0,1600000.0,3.319502074688797,Established Mega (10M–50M),0,⚡ Power Influencer,39.84,🥉 Tier C — Moderate,United States,10M–50M,Medium (2–5%),48.2,Tier C — Moderate,78
kevinhart4real,152000000.0,522000.0,0.3434210526315789,Icon (100M+),2,📡 Reach Giant,39.71,🥉 Tier C — Moderate,United States,100M+,Low (<2%),152.0,Tier C — Moderate,79
hrithikroshan,43700000.0,1600000.0,3.6613272311212817,Established Mega (10M–50M),0,⚡ Power Influencer,39.69,🥉 Tier C — Moderate,CÃ´te d'Ivoire,10M–50M,Medium (2–5%),43.7,Tier C — Moderate,80
davidbeckham,74900000.0,1200000.0,1.602136181575434,Super Mega (50M–100M),0,⚡ Power Influencer,39.58,🥉 Tier C — Moderate,United States,50M–100M,Low (<2%),74.9,Tier C — Moderate,81
shraddhakapoor,73900000.0,1600000.0,2.165087956698241,Super Mega (50M–100M),0,⚡ Power Influencer,39.46,🥉 Tier C — Moderate,,50M–100M,Medium (2–5%),73.9,Tier C — Moderate,82
jamesrodriguez10,49900000.0,1400000.0,2.80561122244489,Established Mega (10M–50M),0,⚡ Power Influencer,39.29,🥉 Tier C — Moderate,Colombia,10M–50M,Medium (2–5%),49.9,Tier C — Moderate,83
Shakira,76100000.0,975100.0,1.281340341655716,Super Mega (50M–100M),0,⚡ Power Influencer,39.23,🥉 Tier C — Moderate,,50M–100M,Low (<2%),76.1,Tier C — Moderate,84
dualipa,85900000.0,2100000.0,2.4447031431897557,Super Mega (50M–100M),0,⚡ Power Influencer,39.16,🥉 Tier C — Moderate,United Kingdom,50M–100M,Medium (2–5%),85.9,Tier C — Moderate,85
vancityreynolds,44800000.0,1400000.0,3.125,Established Mega (10M–50M),0,⚡ Power Influencer,39.06,🥉 Tier C — Moderate,,10M–50M,Medium (2–5%),44.8,Tier C — Moderate,86
camila_cabello,65000000.0,1900000.0,2.923076923076923,Super Mega (50M–100M),0,⚡ Power Influencer,38.86,🥉 Tier C — Moderate,United States,50M–100M,Medium (2–5%),65.0,Tier C — Moderate,87
georginagio,39100000.0,2200000.0,5.626598465473146,Established Mega (10M–50M),0,⚡ Power Influencer,38.69,🥉 Tier C — Moderate,,10M–50M,High (5%+),39.1,Tier C — Moderate,88
willsmith,63900000.0,1400000.0,2.190923317683881,Super Mega (50M–100M),0,⚡ Power Influencer,38.54,🥉 Tier C — Moderate,United States,50M–100M,Medium (2–5%),63.9,Tier C — Moderate,89
ladygaga,53200000.0,1400000.0,2.631578947368421,Super Mega (50M–100M),0,⚡ Power Influencer,38.38,🥉 Tier C — Moderate,United States,50M–100M,Medium (2–5%),53.2,Tier C — Moderate,90
maluma,62800000.0,1200000.0,1.910828025477707,Super Mega (50M–100M),1,🎯 Niche Player,38.25,🥉 Tier C — Moderate,Colombia,50M–100M,Low (<2%),62.8,Tier C — Moderate,91
sergioramos,52800000.0,1100000.0,2.083333333333333,Super Mega (50M–100M),0,⚡ Power Influencer,38.22,🥉 Tier C — Moderate,,50M–100M,Medium (2–5%),52.8,Tier C — Moderate,92
whinderssonnunes,58700000.0,1600000.0,2.72572402044293,Super Mega (50M–100M),0,⚡ Power Influencer,38.13,🥉 Tier C — Moderate,Brazil,50M–100M,Medium (2–5%),58.7,Tier C — Moderate,93
jacquelinef143,62700000.0,1100000.0,1.7543859649122806,Super Mega (50M–100M),0,⚡ Power Influencer,38.09,🥉 Tier C — Moderate,India,50M–100M,Low (<2%),62.7,Tier C — Moderate,94
norafatehi,41600000.0,1400000.0,3.3653846153846154,Established Mega (10M–50M),0,⚡ Power Influencer,37.87,🥉 Tier C — Moderate,Anguilla,10M–50M,Medium (2–5%),41.6,Tier C — Moderate,95
jannatzubair29,43800000.0,1300000.0,2.968036529680365,Established Mega (10M–50M),0,⚡ Power Influencer,37.77,🥉 Tier C — Moderate,,10M–50M,Medium (2–5%),43.8,Tier C — Moderate,96
theellenshow,125100000.0,420500.0,0.3361310951239009,Icon (100M+),1,🎯 Niche Player,37.47,🥉 Tier C — Moderate,United States,100M+,Low (<2%),125.1,Tier C — Moderate,97
paulpogba,55200000.0,1400000.0,2.536231884057971,Super Mega (50M–100M),0,⚡ Power Influencer,37.42,🥉 Tier C — Moderate,France,50M–100M,Medium (2–5%),55.2,Tier C — Moderate,98
chrisbrownofficial,118500000.0,463200.0,0.3908860759493671,Icon (100M+),1,🎯 Niche Player,37.23,🥉 Tier C — Moderate,United States,100M+,Low (<2%),118.5,Tier C — Moderate,99
tatawerneck,53900000.0,959800.0,1.7807050092764378,Super Mega (50M–100M),0,⚡ Power Influencer,37.12,🥉 Tier C — Moderate,Brazil,50M–100M,Low (<2%),53.9,Tier C — Moderate,100
jbalvin,52800000.0,878000.0,1.6628787878787878,Super Mega (50M–100M),1,🎯 Niche Player,36.9,🥉 Tier C — Moderate,,50M–100M,Low (<2%),52.8,Tier C — Moderate,101
stephencurry30,45400000.0,1100000.0,2.4229074889867843,Established Mega (10M–50M),0,⚡ Power Influencer,36.72,🥉 Tier C — Moderate,,10M–50M,Medium (2–5%),45.4,Tier C — Moderate,102
shahidkapoor,35600000.0,1300000.0,3.651685393258427,Established Mega (10M–50M),0,⚡ Power Influencer,36.72,🥉 Tier C — Moderate,,10M–50M,Medium (2–5%),35.6,Tier C — Moderate,102
varundvn,43800000.0,1100000.0,2.5114155251141552,Established Mega (10M–50M),0,⚡ Power Influencer,36.62,🥉 Tier C — Moderate,India,10M–50M,Medium (2–5%),43.8,Tier C — Moderate,104
eminem,36400000.0,1100000.0,3.021978021978022,Established Mega (10M–50M),0,⚡ Power Influencer,36.19,🥉 Tier C — Moderate,United States,10M–50M,Medium (2–5%),36.4,Tier C — Moderate,105
ranveersingh,40800000.0,1000000.0,2.450980392156863,Established Mega (10M–50M),0,⚡ Power Influencer,36.16,🥉 Tier C — Moderate,Switzerland,10M–50M,Medium (2–5%),40.8,Tier C — Moderate,106
dishapatani,53000000.0,1600000.0,3.018867924528302,Super Mega (50M–100M),0,⚡ Power Influencer,36.14,🥉 Tier C — Moderate,United States,50M–100M,Medium (2–5%),53.0,Tier C — Moderate,107
theweeknd,41500000.0,1100000.0,2.6506024096385543,Established Mega (10M–50M),0,⚡ Power Influencer,36.13,🥉 Tier C — Moderate,,10M–50M,Medium (2–5%),41.5,Tier C — Moderate,108
thenotoriousmma,45900000.0,1100000.0,2.3965141612200433,Established Mega (10M–50M),0,⚡ Power Influencer,36.04,🥉 Tier C — Moderate,United States,10M–50M,Medium (2–5%),45.9,Tier C — Moderate,109
beingsalmankhan,53500000.0,1400000.0,2.6168224299065423,Super Mega (50M–100M),0,⚡ Power Influencer,35.93,🥉 Tier C — Moderate,India,50M–100M,Medium (2–5%),53.5,Tier C — Moderate,110
justintimberlake,65900000.00000001,600400.0,0.9110773899848256,Super Mega (50M–100M),0,⚡ Power Influencer,35.86,🥉 Tier C — Moderate,United States,50M–100M,Low (<2%),65.9,Tier C — Moderate,111
antogriezmann,36500000.0,1100000.0,3.0136986301369864,Established Mega (10M–50M),0,⚡ Power Influencer,35.84,🥉 Tier C — Moderate,France,10M–50M,Medium (2–5%),36.5,Tier C — Moderate,112
tigerjackieshroff,35600000.0,1100000.0,3.089887640449438,Established Mega (10M–50M),0,⚡ Power Influencer,35.79,🥉 Tier C — Moderate,India,10M–50M,Medium (2–5%),35.6,Tier C — Moderate,113
brunamarquezine,43100000.0,969700.0,2.249883990719258,Established Mega (10M–50M),0,⚡ Power Influencer,35.76,🥉 Tier C — Moderate,United States,10M–50M,Medium (2–5%),43.1,Tier C — Moderate,114
anitta,63100000.0,855500.0,1.3557844690966718,Super Mega (50M–100M),0,⚡ Power Influencer,35.68,🥉 Tier C — Moderate,United States,50M–100M,Low (<2%),63.1,Tier C — Moderate,115
marcelotwelve,58100000.0,690900.0,1.189156626506024,Super Mega (50M–100M),0,⚡ Power Influencer,35.64,🥉 Tier C — Moderate,Brazil,50M–100M,Low (<2%),58.1,Tier C — Moderate,116
9gag,58100000.0,672600.0,1.157659208261618,Super Mega (50M–100M),1,🎯 Niche Player,35.51,🥉 Tier C — Moderate,United States,50M–100M,Low (<2%),58.1,Tier C — Moderate,117
bellahadid,54100000.0,1100000.0,2.033271719038817,Super Mega (50M–100M),0,⚡ Power Influencer,35.48,🥉 Tier C — Moderate,United Kingdom,50M–100M,Medium (2–5%),54.1,Tier C — Moderate,118
garethbale11,48100000.0,763000.0,1.5862785862785864,Established Mega (10M–50M),0,⚡ Power Influencer,35.42,🥉 Tier C — Moderate,,10M–50M,Low (<2%),48.1,Tier C — Moderate,119
caradelevingne,42900000.0,790200.0,1.841958041958042,Established Mega (10M–50M),0,⚡ Power Influencer,35.21,🥉 Tier C — Moderate,United States,10M–50M,Low (<2%),42.9,Tier C — Moderate,120
sunnyleone,53400000.0,764000.0,1.430711610486891,Super Mega (50M–100M),0,⚡ Power Influencer,35.12,🥉 Tier C — Moderate,,50M–100M,Low (<2%),53.4,Tier C — Moderate,121
barackobama,35400000.0,1100000.0,3.1073446327683616,Established Mega (10M–50M),0,⚡ Power Influencer,35.08,🥉 Tier C — Moderate,United States,10M–50M,Medium (2–5%),35.4,Tier C — Moderate,122
luissuarez9,44200000.0,801800.0,1.8140271493212667,Established Mega (10M–50M),0,⚡ Power Influencer,35.04,🥉 Tier C — Moderate,,10M–50M,Low (<2%),44.2,Tier C — Moderate,123
michelleobama,50700000.0,700500.0,1.381656804733728,Super Mega (50M–100M),0,⚡ Power Influencer,34.8,🥉 Tier C — Moderate,,50M–100M,Low (<2%),50.7,Tier C — Moderate,124
ronaldinho,67700000.0,872900.0,1.2893648449039885,Super Mega (50M–100M),0,⚡ Power Influencer,34.66,🥉 Tier C — Moderate,Brazil,50M–100M,Low (<2%),67.7,Tier C — Moderate,125
psg,61900000.0,500500.0,0.808562197092084,Super Mega (50M–100M),1,🎯 Niche Player,34.37,🥉 Tier C — Moderate,France,50M–100M,Low (<2%),61.9,Tier C — Moderate,126
prattprattpratt,38300000.0,813500.0,2.124020887728459,Established Mega (10M–50M),0,⚡ Power Influencer,34.31,🥉 Tier C — Moderate,,10M–50M,Medium (2–5%),38.3,Tier C — Moderate,127
nba,70100000.0,370800.0,0.5289586305278174,Super Mega (50M–100M),1,🎯 Niche Player,33.99,🥉 Tier C — Moderate,United States,50M–100M,Low (<2%),70.1,Tier C — Moderate,128
433,51200000.0,863200.0,1.6859375,Super Mega (50M–100M),1,🎯 Niche Player,33.87,🥉 Tier C — Moderate,Netherlands,50M–100M,Low (<2%),51.2,Tier C — Moderate,129
anushkasen0408,38300000.0,695400.0,1.8156657963446472,Established Mega (10M–50M),1,🎯 Niche Player,33.72,🥉 Tier C — Moderate,,10M–50M,Low (<2%),38.3,Tier C — Moderate,130
kapilsharma,42200000.0,736400.0,1.7450236966824646,Established Mega (10M–50M),0,⚡ Power Influencer,33.68,🥉 Tier C — Moderate,,10M–50M,Low (<2%),42.2,Tier C — Moderate,131
vanessahudgens,46800000.0,633900.0,1.3544871794871796,Established Mega (10M–50M),0,⚡ Power Influencer,33.61,🥉 Tier C — Moderate,United States,10M–50M,Low (<2%),46.8,Tier C — Moderate,132
larissamanoela,46500000.0,579600.0,1.2464516129032257,Established Mega (10M–50M),1,🎯 Niche Player,33.47,🥉 Tier C — Moderate,Brazil,10M–50M,Low (<2%),46.5,Tier C — Moderate,133
nusr_et,47300000.0,728200.0,1.5395348837209302,Established Mega (10M–50M),0,⚡ Power Influencer,33.34,🥉 Tier C — Moderate,United Arab Emirates,10M–50M,Low (<2%),47.3,Tier C — Moderate,134
cznburak,39000000.0,815800.0,2.0917948717948716,Established Mega (10M–50M),0,⚡ Power Influencer,32.97,🥉 Tier C — Moderate,,10M–50M,Medium (2–5%),39.0,Tier C — Moderate,135
kritisanon,50200000.0,897200.0,1.7872509960159364,Super Mega (50M–100M),0,⚡ Power Influencer,32.97,🥉 Tier C — Moderate,India,50M–100M,Low (<2%),50.2,Tier C — Moderate,135
dannapaola,34700000.0,1500000.0,4.322766570605188,Established Mega (10M–50M),0,⚡ Power Influencer,32.96,🥉 Tier C — Moderate,Mexico,10M–50M,Medium (2–5%),34.7,Tier C — Moderate,137
shaymitchell,34100000.0,732400.0,2.147800586510264,Established Mega (10M–50M),1,🎯 Niche Player,32.95,🥉 Tier C — Moderate,United States,10M–50M,Medium (2–5%),34.1,Tier C — Moderate,138
